,url,title,date,sentence
0,https://www.mk.ru/blogs/posts/ruki-proch-ot-patriota-serdyukova-a-vot-as-pushkina-sudit.html,"Руки прочь от патриота Сердюкова, а вот А.С. Пушкина – судить!. Блог Евгения Понасенкова на mk.ru",16 января 2015,"Чиновники уже не знают, как бороться с остатками культуры."
1,https://www.mk.ru/blogs/posts/ruki-proch-ot-patriota-serdyukova-a-vot-as-pushkina-sudit.html,"Руки прочь от патриота Сердюкова, а вот А.С. Пушкина – судить!. Блог Евгения Понасенкова на mk.ru",16 января 2015,"Вот и я думаю – надо как-то уже заканчивать с вражескими элементами в тылу: надо срочно запретить и изъять из обращения произведения Лермонтова (за «прощай немытая Россия»), Грибоедова (за русофобское «Горе от ума»), Льва Толстого – за издевку над православием (над нашей исконно русской религией из древней Иудеи), следует так же осудить и запретить все, что связано с деятельностью и творчеством нацпредателя и автора современного русского литературного языка Пушкина (вспоминаем: Пушкин - в письме Вяземскому 27 мая 1826 года: «Я конечно презираю Отечество мое съ головы до ногъ — но мнѣдосадно если иностранецъ раздѣляетъ со мною это чувство."
2,https://www.mk.ru/blogs/posts/ruki-proch-ot-patriota-serdyukova-a-vot-as-pushkina-sudit.html,"Руки прочь от патриота Сердюкова, а вот А.С. Пушкина – судить!. Блог Евгения Понасенкова на mk.ru",16 января 2015,"Ты, который не на привязи, какъ можешь ты оставаться въ Россіи?"
3,https://www.mk.ru/blogs/posts/ruki-proch-ot-patriota-serdyukova-a-vot-as-pushkina-sudit.html,"Руки прочь от патриота Сердюкова, а вот А.С. Пушкина – судить!. Блог Евгения Понасенкова на mk.ru",16 января 2015,"Если Царь дастъ мнѣ слободу, то я мѣсяца не останусь."
4,https://www.mk.ru/blogs/posts/ruki-proch-ot-patriota-serdyukova-a-vot-as-pushkina-sudit.html,"Руки прочь от патриота Сердюкова, а вот А.С. Пушкина – судить!. Блог Евгения Понасенкова на mk.ru",16 января 2015,"Мы живемъ въ печальномъ вѣкѣ, но когда воображаю Лондонъ, чугунныя дороги, паровые корабли, Англ. журналы или Парижскія театры и бордели — то мое глухое Михайловское наводитъ на меня тоску и бѣшенство»)."
5,https://www.mk.ru/blogs/posts/ruki-proch-ot-patriota-serdyukova-a-vot-as-pushkina-sudit.html,"Руки прочь от патриота Сердюкова, а вот А.С. Пушкина – судить!. Блог Евгения Понасенкова на mk.ru",16 января 2015,"И срочно следует посмертно судить, приговорить и запретить негодяя и главаря «пятой колонны», завербованного правительством США и лично Аленом Даллесом – я говорю об основателе и первом председателе Русского исторического общества, действительном члене Академии Российской – Петре Вяземском: этот иудо-бандеровский прихвостень написал следующее: «Русский бог» Нужно ль вам истолкованье, Что такое русский бог?"
6,https://www.mk.ru/blogs/posts/ruki-proch-ot-patriota-serdyukova-a-vot-as-pushkina-sudit.html,"Руки прочь от патриота Сердюкова, а вот А.С. Пушкина – судить!. Блог Евгения Понасенкова на mk.ru",16 января 2015,"Вот его вам начертанье, Сколько я заметить мог."
7,https://www.mk.ru/blogs/posts/ruki-proch-ot-patriota-serdyukova-a-vot-as-pushkina-sudit.html,"Руки прочь от патриота Сердюкова, а вот А.С. Пушкина – судить!. Блог Евгения Понасенкова на mk.ru",16 января 2015,"Бог метелей, бог ухабов, Бог мучительных дорог, Станций — тараканьих штабов, Вот он, вот он русский бог."
8,https://www.mk.ru/blogs/posts/ruki-proch-ot-patriota-serdyukova-a-vot-as-pushkina-sudit.html,"Руки прочь от патриота Сердюкова, а вот А.С. Пушкина – судить!. Блог Евгения Понасенкова на mk.ru",16 января 2015,"Бог голодных, бог холодных, Нищих вдоль и поперек, Бог имений недоходных, Вот он, вот он русский бог."
9,https://www.mk.ru/blogs/posts/ruki-proch-ot-patriota-serdyukova-a-vot-as-pushkina-sudit.html,"Руки прочь от патриота Сердюкова, а вот А.С. Пушкина – судить!. Блог Евгения Понасенкова на mk.ru",16 января 2015,"Бог грудей и жоп отвислых, Бог лаптей и пухлых ног, Горьких лиц и сливок кислых, Вот он, вот он русский бог."
